id,realty_id,total_square_meters,rooms_count,floors_count,floor,price,price_item,district_id,is_commercial,agency_id,deleted_by,delete_reason,longitude,latitude,price_usd,price_eur,price_uah
realty-16187824,16187824,55,2,14,5,8500,155,15092,1,24288,cron,1,,,312,277,8 500
realty-16187684,16187684,47,2,10,2,300,6,15752,1,24288,cron,1,,,300,266,8 174
realty-16187844,16187844,74,3,3,1,10000,135,15089,1,24288,cron,1,,,367,326,10 000
realty-16856213,16856213,29,1,5,2,7000,241,0,1,24288,cron,1,,,257,228,7 000
realty-12523510,12523510,45,2,5,5,7500,,15088,1,24288,cron,1,,,275,244,7 500
realty-16856687,16856687,50,2,4,2,10000,200,15087,1,24288,cron,1,,,367,326,10 000
realty-16856171,16856171,40,1,9,3,8500,213,15092,1,24288,cron,1,,,312,277,8 500
realty-16187635,16187635,100,2,10,10,430,4,15092,1,24288,cron,1,,,430,382,11 717
realty-12704862,12704862,40,1,6,4,7200,180,15089,1,24288,cron,1,,,264,235,7 200
realty-12876511,12876511,89,3,9,2,10500,118,15092,1,24288,cron,1,,,385,342,10 500
realty-12184008,12184008,45,2,10,4,7700,,15090,1,24288,cron,1,,,283,251,7 700
realty-16180606,16180606,60,2,5,4,400,7,15089,1,24288,cron,1,,,400,355,10 899
realty-16181096,16181096,75,3,5,5,11000,147,15089,1,24288,cron,1,,,404,359,11 000
realty-16180938,16180938,64,2,9,6,9000,141,15090,1,24288,cron,1,,,330,293,9 000
realty-16181064,16181064,107,3,10,9,500,5,15092,1,24288,cron,1,,,500,444,13 624
realty-15846067,15846067,38,1,3,3,7000,184,15087,1,24288,cron,1,,,257,228,7 000
realty-16179770,16179770,35,1,3,1,7800,223,15087,1,24288,cron,1,,,286,254,7 800
realty-16179566,16179566,45,2,12,11,8500,189,15091,1,24288,cron,1,,,312,277,8 500
realty-15866476,15866476,60,2,3,2,9500,158,15087,1,24288,cron,1,,,349,310,9 500
realty-15593325,15593325,90,3,7,4,10500,117,15091,1,24288,cron,1,,,385,342,10 500
realty-12239815,12239815,55,2,4,3,9000,164,15087,1,24288,cron,1,24.033099312194388,49.83631953800278,330,293,9 000
realty-12335410,12335410,53,2,9,6,7300,138,15089,1,24288,cron,1,,,268,238,7 300
realty-12214529,12214529,62,4,5,3,9500,153,15089,1,24288,cron,1,,,349,310,9 500
realty-12202841,12202841,86,3,9,5,10000,116,15092,1,24288,cron,1,,,367,326,10 000
realty-12418489,12418489,49,2,3,3,7000,143,0,1,24288,cron,1,23.998552210927,49.848369334286,257,228,7 000
realty-16187537,16187537,43,2,9,2,250,6,15088,1,24288,cron,1,,,250,222,6 812
realty-16571677,16571677,55,1,3,2,7500,136,0,1,24288,cron,1,,,275,244,7 500
realty-16178640,16178640,41,1,10,1,7200,176,15090,1,24288,cron,1,,,264,235,7 200
realty-16178649,16178649,59,1,10,5,7800,132,15088,1,24288,cron,1,,,286,254,7 800
realty-15603477,15603477,50,1,11,4,7000,140,15090,1,24288,cron,1,,,257,228,7 000
realty-14822314,14822314,32,1,5,3,7000,219,15088,1,24288,cron,1,,,257,228,7 000
realty-15594176,15594176,70,2,10,8,8000,114,15092,1,24288,cron,1,,,294,261,8 000
realty-12626054,12626054,40,1,3,2,6700,168,15749,1,24288,cron,1,,,246,218,6 700
realty-15603511,15603511,90,3,9,5,9000,100,15091,1,24288,cron,1,,,330,293,9 000
realty-15594159,15594159,60,2,10,4,8300,138,15092,1,24288,cron,1,,,305,271,8 300
realty-12486313,12486313,44,1,3,1,6500,148,15087,1,24288,cron,1,,,239,212,6 500
realty-12121504,12121504,38,1,5,4,7000,184,15767,1,24288,cron,1,,,257,228,7 000
realty-15860192,15860192,130,3,6,5,12000,92,15091,1,24288,cron,1,,,440,391,12 000
realty-15891036,15891036,62.3,2,3,2,8000,128,15091,1,24288,cron,,,,294,261,8 000
realty-15891150,15891150,39,1,3,3,7000,179,15087,1,24288,cron,1,,,257,228,7 000
realty-12239722,12239722,39,2,3,2,8000,205,15087,1,24288,cron,1,24.030309814818,49.829504747519,294,261,8 000
realty-12277753,12277753,84,3,5,4,9000,107,15091,1,24288,cron,1,,,330,293,9 000
realty-15909419,15909419,43,1,11,2,7800,181,15092,1,24288,cron,1,,,286,254,7 800
realty-12214103,12214103,45,1,14,4,7500,167,15090,1,24288,cron,1,,,275,244,7 500
realty-12168155,12168155,74,3,4,3,11000,149,15087,1,24288,cron,1,24.018207687742244,49.82901893201013,404,359,11 000
realty-12231495,12231495,43,2,10,5,7600,,15088,1,24288,cron,1,,,279,248,7 600
realty-12296196,12296196,59,3,9,3,8000,136,15091,1,24288,cron,1,,,294,261,8 000
realty-12259411,12259411,76,3,5,4,8800,116,15091,1,24288,cron,1,,,323,287,8 800
realty-15603499,15603499,70,2,4,4,8500,121,15091,1,24288,cron,1,,,312,277,8 500
realty-15598956,15598956,55,1,10,5,7500,136,15091,1,24288,cron,1,,,275,244,7 500
realty-15603538,15603538,75,3,5,1,8500,113,15092,1,24288,cron,1,,,312,277,8 500
realty-13796848,13796848,78,3,3,2,9000,115,15089,1,24288,cron,1,,,330,293,9 000
realty-16035968,16035968,65,2,10,10,7500,115,15092,1,24288,cron,1,,,275,244,7 500
realty-15594180,15594180,90,3,10,2,11500,128,15092,1,24288,cron,1,,,422,375,11 500
realty-15908699,15908699,65,2,4,3,9000,138,15089,1,24288,cron,1,,,330,293,9 000
realty-15908681,15908681,110,3,10,9,11000,100,15090,1,24288,cron,1,,,404,359,11 000
realty-15908607,15908607,64,2,10,8,8700,136,15091,1,24288,cron,1,,,319,284,8 700
realty-12313557,12313557,76,3,8,6,11000,145,15087,1,24288,cron,1,,,404,359,11 000
realty-12214481,12214481,74,3,9,2,9000,122,15090,1,24288,cron,1,,,330,293,9 000
realty-16179492,16179492,45,1,7,2,6500,144,15090,1,24288,cron,1,,,239,212,6 500
realty-15891072,15891072,31,1,3,2,7200,232,15087,1,24288,cron,1,,,264,235,7 200
realty-12167743,12167743,46,2,3,1,7200,157,15087,1,24288,cron,1,,,264,235,7 200
realty-15890922,15890922,65,2,10,7,8000,123,15092,1,24288,cron,1,,,294,261,8 000
realty-15603299,15603299,140,5,4,3,500,4,15089,1,24288,cron,1,,,500,444,13 624
realty-17162105,17162105,42,1,7,1,6500,155,15090,1,24021,,,,,239,212,6 500
realty-17159951,17159951,32,1,3,2,10000,313,15089,1,24021,,,,,367,326,10 000
realty-12787236,12787236,83,3,13,3,10000,120,15092,1,24288,cron,1,,,367,326,10 000
realty-17153490,17153490,66,2,10,4,10000,152,15091,1,24021,,,,,367,326,10 000
realty-12916662,12916662,65,2,3,2,7800,120,15089,1,24288,cron,,,,286,254,7 800
realty-12778713,12778713,34,1,5,3,6500,191,15088,1,24288,cron,1,,,239,212,6 500
realty-12480066,12480066,49,2,9,6,7000,143,15090,1,24288,cron,1,,,257,228,7 000
realty-17151759,17151759,49,1,8,6,11000,224,15092,1,24021,,,,,404,359,11 000
realty-12622935,12622935,45,1,2,2,7500,167,15091,1,24288,cron,1,,,275,244,7 500
realty-17152999,17152999,170,5,9,9,13500,79,15092,1,24021,,,,,495,440,13 500
realty-12504200,12504200,62,3,9,6,8300,134,15091,1,24288,cron,,,,305,271,8 300
realty-12402177,12402177,51,2,5,3,7600,,0,1,24288,cron,1,,,279,248,7 600
realty-12184266,12184266,64,3,9,6,12000,,15092,1,24288,cron,1,,,440,391,12 000
realty-17149961,17149961,40,1,9,7,15000,375,15092,1,24021,,,,,551,489,15 000
realty-16163617,16163617,44,1,9,7,8500,193,15090,1,24021,user,,,,312,277,8 500
realty-16926627,16926627,35,1,9,9,6000,171,15092,1,24021,,,,,220,196,6 000
realty-17303811,17303811,44,1,5,1,6000,136,15088,0,,,,,,220,196,6 000
realty-15603449,15603449,50,1,10,7,7000,140,15090,1,24288,cron,1,,,257,228,7 000
realty-15866847,15866847,125,3,5,4,700,6,15091,1,24288,cron,,,,700,622,19 074
realty-17185448,17185448,35,1,3,1,5000,143,15088,1,23844,,,24.009048094443,49.837596605704,184,163,5 000
realty-15909227,15909227,134,4,5,3,600,4,15087,1,24288,cron,1,,,600,533,16 349
realty-15890207,15890207,48,2,10,7,350,7,15091,1,24288,cron,1,,,350,311,9 537
realty-15755112,15755112,43,1,1,0,7500,174,15092,1,24288,cron,1,24.019267186507,49.8527391797,275,244,7 500
realty-16035964,16035964,100,4,4,3,600,6,15089,1,24288,cron,,,,600,533,16 349
realty-14370001,14370001,70,2,10,5,8000,114,15090,1,24288,cron,1,,,294,261,8 000
realty-15949554,15949554,50,1,7,5,8000,160,15092,1,24288,cron,1,,,294,261,8 000
realty-12418257,12418257,59,2,4,4,8000,,15087,1,24288,cron,1,,,294,261,8 000
realty-15585728,15585728,50,1,10,10,6500,130,15088,1,24288,cron,,,,239,212,6 500
realty-15920345,15920345,62,2,10,3,320,5,15089,1,24288,cron,,,,320,284,8 719
realty-12290066,12290066,56,2,9,3,7500,134,15092,1,24288,cron,1,23.994174845822258,49.84999267299555,275,244,7 500
realty-15909552,15909552,91,3,9,3,400,4,15092,1,24288,cron,,,,400,355,10 899
realty-16179833,16179833,60,2,11,8,8500,142,15092,1,24288,cron,1,,,312,277,8 500
realty-15858313,15858313,40,1,5,2,7900,198,15087,1,24288,cron,1,,,290,258,7 900
